,tenor,vol
0,0.08333333333333333,3.4775261146630467
1,0.16666666666666666,4.266106196926802
2,0.25,3.456676412736602
3,0.3333333333333333,2.6950537295588433
4,0.41666666666666663,2.480689521317964
5,0.5,2.6605905744335208
6,0.5833333333333333,2.981150164412588
7,0.6666666666666666,3.184545146355916
8,0.75,3.098286765358153
9,0.8333333333333333,2.8189874354837916
10,0.9166666666666666,2.5052686480519273
11,1.0,2.221345167230898
12,1.0833333333333333,1.979956855859784
13,1.1666666666666665,1.777715804875814
14,1.25,1.609030894325891
15,1.3333333333333333,1.4691784076255665
16,1.4166666666666665,1.3544763643115112
17,1.5,1.2619733214843298
18,1.5833333333333333,1.189075825782571
19,1.6666666666666665,1.1332488477279712
20,1.75,1.091849093643782
21,1.8333333333333333,1.0621063511995021
22,1.9166666666666665,1.0412243541077844
23,2.0,1.0265447002443548
24,2.083333333333333,1.0157809255243284
25,2.1666666666666665,1.0073926011381755
26,2.25,1.000442233405852
27,2.333333333333333,0.9943760100552229
28,2.4166666666666665,0.9888834535251764
29,2.5,0.9837958345183576
30,2.583333333333333,0.9790161189383864
31,2.6666666666666665,0.9744734429249868
32,2.75,0.9700962979754137
33,2.833333333333333,0.9657998537499115
34,2.9166666666666665,0.9614838493576348
35,3.0,0.9570382184514541
36,3.083333333333333,0.9523549466585228
37,3.1666666666666665,0.9473536738544834
38,3.25,0.9419969006387311
39,3.333333333333333,0.9362803018379925
40,3.4166666666666665,0.9302225427907376
41,3.5,0.9238572489252368
42,3.583333333333333,0.9172268088862152
43,3.6666666666666665,0.9103777134812749
44,3.75,0.9033571634746095
45,3.833333333333333,0.8962107124403408
46,3.9166666666666665,0.8889807431606762
47,4.0,0.8817056058181156
48,4.083333333333333,0.8744192728673574
49,4.166666666666666,0.8671513888853633
50,4.25,0.8599276140478321
51,4.333333333333333,0.8527701774376601
52,4.416666666666666,0.8456985714526349
53,4.5,0.8387303314322209
54,4.583333333333333,0.8318818555225422
55,4.666666666666666,0.8251692289676056
56,4.75,0.8186090246453762
57,4.833333333333333,0.8122190579262685
58,4.916666666666666,0.8060190789684571
59,5.0,0.8000313895173312
60,5.083333333333333,0.7942833971913248
61,5.166666666666666,0.7888114505800976
62,5.25,0.7836496909731302
63,5.333333333333333,0.7788263208642119
64,5.416666666666666,0.7743628672653887
65,5.5,0.7702737906130002
66,5.583333333333333,0.7665663832570205
67,5.666666666666666,0.763240905880108
68,5.75,0.7602909143494864
69,5.833333333333333,0.7577037335986517
70,5.916666666666666,0.7554610392893403
71,6.0,0.753539512296561
72,6.083333333333333,0.7519115355130537
73,6.166666666666666,0.750545907049639
74,6.25,0.7494085485344842
75,6.333333333333333,0.7484631917784348
76,6.416666666666666,0.7476720314574704
77,6.5,0.7469963355576531
78,6.583333333333333,0.7463970090455028
79,6.666666666666666,0.7458351095110404
80,6.75,0.7452723163590397
81,6.833333333333333,0.7446713575060064
82,6.916666666666666,0.7439963995141483
83,7.0,0.7432134087189182
84,7.083333333333333,0.7422953129464233
85,7.166666666666666,0.7412369792300922
86,7.25,0.7400409591649821
87,7.333333333333333,0.7387121670885376
88,7.416666666666666,0.7372573838149254
89,7.5,0.7356848457925659
90,7.583333333333333,0.734003903765181
91,7.666666666666666,0.7322247380020522
92,7.75,0.7303581195943885
93,7.833333333333333,0.72841520929479
94,7.916666666666666,0.7264073869908795
95,8.0,0.724346106221943
