DATE,WGS20YR
2011-03-25,4.22
2011-04-01,4.29
2011-04-08,4.35
2011-04-15,4.33
2011-04-22,4.23
2011-04-29,4.18
2011-05-06,4.07
2011-05-13,4.05
2011-05-20,3.99
2011-05-27,3.96
2011-06-03,3.89
2011-06-10,3.90
2011-06-17,3.90
2011-06-24,3.87
2011-07-01,4.05
2011-07-08,4.05
2011-07-15,3.89
2011-07-22,3.93
2011-07-29,3.91
2011-08-05,3.54
2011-08-12,3.23
2011-08-19,3.13
2011-08-26,3.12
2011-09-02,3.11
2011-09-09,2.90
2011-09-16,2.92
2011-09-23,2.68
2011-09-30,2.74
2011-10-07,2.63
2011-10-14,2.92
2011-10-21,2.92
2011-10-28,3.02
2011-11-04,2.80
2011-11-11,2.79
2011-11-18,2.73
2011-11-25,2.60
2011-12-02,2.72
2011-12-09,2.74
2011-12-16,2.63
2011-12-23,2.63
2011-12-30,2.62
2012-01-06,2.71
2012-01-13,2.66
2012-01-20,2.68
2012-01-27,2.77
2012-02-03,2.66
2012-02-10,2.77
2012-02-17,2.76
2012-02-24,2.79
2012-03-02,2.74
2012-03-09,2.78
2012-03-16,3.00
2012-03-23,3.07
2012-03-30,2.97
2012-04-06,2.98
2012-04-13,2.81
2012-04-20,2.76
2012-04-27,2.74
2012-05-04,2.72
2012-05-11,2.63
2012-05-18,2.46
2012-05-25,2.44
2012-06-01,2.29
2012-06-08,2.29
2012-06-15,2.32
2012-06-22,2.32
2012-06-29,2.33
2012-07-06,2.32
2012-07-13,2.21
2012-07-20,2.20
2012-07-27,2.15
2012-08-03,2.24
2012-08-10,2.36
2012-08-17,2.49
2012-08-24,2.47
2012-08-31,2.35
2012-09-07,2.36
2012-09-14,2.52
2012-09-21,2.60
2012-09-28,2.45
2012-10-05,2.45
2012-10-12,2.47
2012-10-19,2.55
2012-10-26,2.56
2012-11-02,2.49
2012-11-09,2.42
2012-11-16,2.31
2012-11-23,2.40
2012-11-30,2.37
2012-12-07,2.36
2012-12-14,2.44
2012-12-21,2.56
2012-12-28,2.50
2013-01-04,2.64
2013-01-11,2.67
2013-01-18,2.63
2013-01-25,2.66
2013-02-01,2.79
2013-02-08,2.80
2013-02-15,2.81
2013-02-22,2.80
2013-03-01,2.70
2013-03-08,2.78
2013-03-15,2.86
2013-03-22,2.77
2013-03-29,2.73
2013-04-05,2.64
2013-04-12,2.58
2013-04-19,2.51
2013-04-26,2.50
2013-05-03,2.49
2013-05-10,2.63
2013-05-17,2.74
2013-05-24,2.80
2013-05-31,2.93
2013-06-07,2.93
2013-06-14,3.00
2013-06-21,3.11
2013-06-28,3.26
2013-07-05,3.25
2013-07-12,3.36
2013-07-19,3.28
2013-07-26,3.30
2013-08-02,3.38
