DATE,WGS30YR
2011-03-25,4.46
2011-04-01,4.51
2011-04-08,4.57
2011-04-15,4.55
2011-04-22,4.46
2011-04-29,4.42
2011-05-06,4.32
2011-05-13,4.33
2011-05-20,4.28
2011-05-27,4.26
2011-06-03,4.21
2011-06-10,4.22
2011-06-17,4.21
2011-06-24,4.19
2011-07-01,4.36
2011-07-08,4.35
2011-07-15,4.21
2011-07-22,4.26
2011-07-29,4.25
2011-08-05,3.88
2011-08-12,3.66
2011-08-19,3.57
2011-08-26,3.53
2011-09-02,3.52
2011-09-09,3.30
2011-09-16,3.32
2011-09-23,3.02
2011-09-30,3.02
2011-10-07,2.88
2011-10-14,3.17
2011-10-21,3.18
2011-10-28,3.29
2011-11-04,3.07
2011-11-11,3.08
2011-11-18,3.04
2011-11-25,2.90
2011-12-02,3.02
2011-12-09,3.05
2011-12-16,2.95
2011-12-23,2.95
2011-12-30,2.94
2012-01-06,3.02
2012-01-13,2.98
2012-01-20,3.00
2012-01-27,3.12
2012-02-03,3.02
2012-02-10,3.13
2012-02-17,3.12
2012-02-24,3.15
2012-03-02,3.09
2012-03-09,3.14
2012-03-16,3.34
2012-03-23,3.40
2012-03-30,3.31
2012-04-06,3.33
2012-04-13,3.17
2012-04-20,3.13
2012-04-27,3.12
2012-05-04,3.12
2012-05-11,3.04
2012-05-18,2.87
2012-05-25,2.84
2012-06-01,2.69
2012-06-08,2.69
2012-06-15,2.72
2012-06-22,2.71
2012-06-29,2.71
2012-07-06,2.70
2012-07-13,2.59
2012-07-20,2.58
2012-07-27,2.51
2012-08-03,2.59
2012-08-10,2.73
2012-08-17,2.87
2012-08-24,2.85
2012-08-31,2.74
2012-09-07,2.75
2012-09-14,2.93
2012-09-21,2.98
2012-09-28,2.84
2012-10-05,2.86
2012-10-12,2.88
2012-10-19,2.94
2012-10-26,2.94
2012-11-02,2.88
2012-11-09,2.83
2012-11-16,2.73
2012-11-23,2.81
2012-11-30,2.80
2012-12-07,2.79
2012-12-14,2.86
2012-12-21,2.97
2012-12-28,2.91
2013-01-04,3.05
2013-01-11,3.07
2013-01-18,3.03
2013-01-25,3.06
2013-02-01,3.18
2013-02-08,3.18
2013-02-15,3.19
2013-02-22,3.18
2013-03-01,3.09
2013-03-08,3.16
2013-03-15,3.23
2013-03-22,3.16
2013-03-29,3.12
2013-04-05,3.02
2013-04-12,2.96
2013-04-19,2.89
2013-04-26,2.89
2013-05-03,2.87
2013-05-10,3.02
2013-05-17,3.14
2013-05-24,3.18
2013-05-31,3.29
2013-06-07,3.28
2013-06-14,3.33
2013-06-21,3.43
2013-06-28,3.56
2013-07-05,3.53
2013-07-12,3.65
2013-07-19,3.59
2013-07-26,3.61
2013-08-02,3.69
2013-08-09,3.68
2013-08-16,3.77
2013-08-23,3.87
2013-08-30,3.72
2013-09-06,3.84
2013-09-13,3.85
2013-09-20,3.81
2013-09-27,3.68
2013-10-04,3.71
2013-10-11,3.72
2013-10-18,3.70
2013-10-25,3.62
2013-11-01,3.64
2013-11-08,3.76
2013-11-15,3.82
2013-11-22,3.84
2013-11-29,3.82
2013-12-06,3.88
2013-12-13,3.87
2013-12-20,3.88
2013-12-27,3.90
2014-01-03,3.93
2014-01-10,3.87
2014-01-17,3.78
2014-01-24,3.70
2014-01-31,3.65
2014-02-07,3.63
2014-02-14,3.69
2014-02-21,3.70
2014-02-28,3.64
2014-03-07,3.65
2014-03-14,3.66
2014-03-21,3.64
2014-03-28,3.56
2014-04-04,3.60
2014-04-11,3.53
2014-04-18,3.48
2014-04-25,3.48
2014-05-02,3.44
2014-05-09,3.42
2014-05-16,3.40
2014-05-23,3.40
2014-05-30,3.33
2014-06-06,3.43
2014-06-13,3.44
2014-06-20,3.44
2014-06-27,3.39
2014-07-04,3.42
2014-07-11,3.38
2014-07-18,3.33
2014-07-25,3.26
2014-08-01,3.28
2014-08-08,3.26
2014-08-15,3.22
2014-08-22,3.20
2014-08-29,3.11
2014-09-05,3.19
2014-09-12,3.27
2014-09-19,3.34
2014-09-26,3.25
2014-10-03,3.16
2014-10-10,3.07
2014-10-17,2.95
2014-10-24,3.01
2014-10-31,3.05
2014-11-07,3.06
2014-11-14,3.08
2014-11-21,3.05
2014-11-28,2.96
2014-12-05,2.97
2014-12-12,2.84
2014-12-19,2.75
2014-12-26,2.81
2015-01-02,2.75
2015-01-09,2.56
2015-01-16,2.46
2015-01-23,2.42
2015-01-30,2.33
2015-02-06,2.39
2015-02-13,2.58
2015-02-20,2.72
2015-02-27,2.61
2015-03-06,2.73
2015-03-13,2.72
2015-03-20,2.57
2015-03-27,2.52
2015-04-03,2.52
2015-04-10,2.56
2015-04-17,2.55
2015-04-24,2.61
2015-05-01,2.72
2015-05-08,2.91
2015-05-15,3.02
2015-05-22,3.02
2015-05-29,2.89
2015-06-05,3.04
2015-06-12,3.14
2015-06-19,3.09
2015-06-26,3.19
2015-07-03,3.15
2015-07-10,3.08
2015-07-17,3.15
2015-07-24,3.03
2015-07-31,2.95
2015-08-07,2.89
2015-08-14,2.85
2015-08-21,2.80
