DATE,WGS6MO
2016-10-07,0.47
2016-10-14,0.47
2016-10-21,0.47
2016-10-28,0.48
2016-11-04,0.51
2016-11-11,0.56
2016-11-18,0.62
2016-11-25,0.62
2016-12-02,0.61
2016-12-09,0.63
2016-12-16,0.65
2016-12-23,0.65
2016-12-30,0.63
2017-01-06,0.63
2017-01-13,0.60
2017-01-20,0.62
2017-01-27,0.61
2017-02-03,0.64
2017-02-10,0.63
2017-02-17,0.66
2017-02-24,0.67
2017-03-03,0.77
2017-03-10,0.87
2017-03-17,0.90
2017-03-24,0.90
2017-03-31,0.91
2017-04-07,0.93
2017-04-14,0.95
2017-04-21,0.93
2017-04-28,0.98
2017-05-05,1.00
2017-05-12,1.03
2017-05-19,1.02
2017-05-26,1.07
2017-06-02,1.07
2017-06-09,1.09
2017-06-16,1.12
2017-06-23,1.12
2017-06-30,1.13
2017-07-07,1.14
2017-07-14,1.13
2017-07-21,1.11
2017-07-28,1.13
2017-08-04,1.14
2017-08-11,1.15
2017-08-18,1.13
2017-08-25,1.11
2017-09-01,1.11
2017-09-08,1.15
2017-09-15,1.16
2017-09-22,1.19
2017-09-29,1.19
2017-10-06,1.21
2017-10-13,1.26
2017-10-20,1.25
2017-10-27,1.27
2017-11-03,1.28
2017-11-10,1.34
2017-11-17,1.40
2017-11-24,1.45
2017-12-01,1.44
2017-12-08,1.47
2017-12-15,1.48
2017-12-22,1.52
2017-12-29,1.53
2018-01-05,1.60
2018-01-12,1.59
2018-01-19,1.63
2018-01-26,1.64
2018-02-02,1.65
2018-02-09,1.71
2018-02-16,1.82
2018-02-23,1.85
2018-03-02,1.86
2018-03-09,1.88
2018-03-16,1.93
2018-03-23,1.96
2018-03-30,1.94
2018-04-06,1.92
2018-04-13,1.95
2018-04-20,2.01
2018-04-27,2.03
2018-05-04,2.03
2018-05-11,2.05
2018-05-18,2.09
2018-05-25,2.11
2018-06-01,2.08
2018-06-08,2.13
2018-06-15,2.09
2018-06-22,2.13
2018-06-29,2.12
2018-07-06,2.13
2018-07-13,2.15
2018-07-20,2.17
2018-07-27,2.19
2018-08-03,2.22
2018-08-10,2.24
2018-08-17,2.24
2018-08-24,2.24
2018-08-31,2.27
2018-09-07,2.30
2018-09-14,2.32
2018-09-21,2.36
2018-09-28,2.37
2018-10-05,2.41
2018-10-12,2.45
2018-10-19,2.47
2018-10-26,2.48
2018-11-02,2.49
2018-11-09,2.52
2018-11-16,2.52
2018-11-23,2.52
2018-11-30,2.53
2018-12-07,2.56
2018-12-14,2.55
2018-12-21,2.54
2018-12-28,2.51
2019-01-04,2.51
2019-01-11,2.52
2019-01-18,2.51
2019-01-25,2.51
2019-02-01,2.49
2019-02-08,2.49
2019-02-15,2.51
2019-02-22,2.51
2019-03-01,2.51
2019-03-08,2.53
2019-03-15,2.53
2019-03-22,2.50
2019-03-29,2.46
2019-04-05,2.46
2019-04-12,2.47
2019-04-19,2.47
2019-04-26,2.46
2019-05-03,2.46
2019-05-10,2.46
2019-05-17,2.43
2019-05-24,2.41
2019-05-31,2.38
2019-06-07,2.24
2019-06-14,2.20
2019-06-21,2.12
2019-06-28,2.11
2019-07-05,2.10
2019-07-12,2.10
2019-07-19,2.04
2019-07-26,2.09
2019-08-02,2.07
2019-08-09,1.97
2019-08-16,1.91
2019-08-23,1.89
2019-08-30,1.90
2019-09-06,1.88
2019-09-13,1.89
2019-09-20,1.92
2019-09-27,1.89
2019-10-04,1.74
2019-10-11,1.69
2019-10-18,1.64
2019-10-25,1.65
2019-11-01,1.61
2019-11-08,1.58
2019-11-15,1.59
2019-11-22,1.58
2019-11-29,1.62
2019-12-06,1.57
2019-12-13,1.57
2019-12-20,1.58
2019-12-27,1.60
2020-01-03,1.58
2020-01-10,1.56
2020-01-17,1.57
2020-01-24,1.56
2020-01-31,1.57
2020-02-07,1.57
2020-02-14,1.56
2020-02-21,1.55
2020-02-28,1.36
2020-03-06,0.68
2020-03-13,0.37
2020-03-20,0.14
2020-03-27,0.06
2020-04-03,0.14
2020-04-10,0.21
2020-04-17,0.21
2020-04-24,0.14
2020-05-01,0.13
2020-05-08,0.15
2020-05-15,0.15
2020-05-22,0.15
2020-05-29,0.18
2020-06-05,0.18
2020-06-12,0.19
2020-06-19,0.18
2020-06-26,0.17
2020-07-03,0.17
2020-07-10,0.16
2020-07-17,0.14
2020-07-24,0.14
2020-07-31,0.12
2020-08-07,0.11
2020-08-14,0.12
2020-08-21,0.12
2020-08-28,0.12
2020-09-04,0.12
2020-09-11,0.13
2020-09-18,0.12
2020-09-25,0.11
2020-10-02,0.11
2020-10-09,0.12
2020-10-16,0.12
2020-10-23,0.11
2020-10-30,0.11
2020-11-06,0.11
2020-11-13,0.11
2020-11-20,0.10
2020-11-27,0.09
2020-12-04,0.10
2020-12-11,0.09
2020-12-18,0.09
2020-12-25,0.09
2021-01-01,0.10
2021-01-08,0.09
2021-01-15,0.10
2021-01-22,0.10
2021-01-29,0.08
2021-02-05,0.07
2021-02-12,0.06
2021-02-19,0.06
2021-02-26,0.05
2021-03-05,0.07
2021-03-12,0.06
2021-03-19,0.05
