DATE,WGS7YR
2011-03-25,2.78
2011-04-01,2.90
2011-04-08,2.95
2011-04-15,2.88
2011-04-22,2.78
2011-04-29,2.71
2011-05-06,2.60
2011-05-13,2.54
2011-05-20,2.51
2011-05-27,2.44
2011-06-03,2.32
2011-06-10,2.28
2011-06-17,2.28
2011-06-24,2.23
2011-07-01,2.40
2011-07-08,2.42
2011-07-15,2.21
2011-07-22,2.23
2011-07-29,2.23
2011-08-05,1.92
2011-08-12,1.60
2011-08-19,1.50
2011-08-26,1.54
2011-09-02,1.52
2011-09-09,1.40
2011-09-16,1.45
2011-09-23,1.35
2011-09-30,1.46
2011-10-07,1.45
2011-10-14,1.70
2011-10-21,1.64
2011-10-28,1.71
2011-11-04,1.48
2011-11-11,1.45
2011-11-18,1.45
2011-11-25,1.43
2011-12-02,1.50
2011-12-09,1.47
2011-12-16,1.39
2011-12-23,1.41
2011-12-30,1.41
2012-01-06,1.42
2012-01-13,1.37
2012-01-20,1.39
2012-01-27,1.41
2012-02-03,1.28
2012-02-10,1.38
2012-02-17,1.38
2012-02-24,1.42
2012-03-02,1.38
2012-03-09,1.39
2012-03-16,1.60
2012-03-23,1.72
2012-03-30,1.60
2012-04-06,1.58
2012-04-13,1.41
2012-04-20,1.38
2012-04-27,1.36
2012-05-04,1.33
2012-05-11,1.27
2012-05-18,1.18
2012-05-25,1.18
2012-06-01,1.05
2012-06-08,1.07
2012-06-15,1.08
2012-06-22,1.10
2012-06-29,1.10
2012-07-06,1.05
2012-07-13,0.98
2012-07-20,0.97
2012-07-27,0.95
2012-08-03,1.01
2012-08-10,1.12
2012-08-17,1.22
2012-08-24,1.19
2012-08-31,1.08
2012-09-07,1.07
2012-09-14,1.15
2012-09-21,1.18
2012-09-28,1.06
2012-10-05,1.06
2012-10-12,1.10
2012-10-19,1.19
2012-10-26,1.23
2012-11-02,1.16
2012-11-09,1.10
2012-11-16,1.02
2012-11-23,1.09
2012-11-30,1.06
2012-12-07,1.03
2012-12-14,1.10
2012-12-21,1.23
2012-12-28,1.18
2013-01-04,1.27
2013-01-11,1.29
2013-01-18,1.26
2013-01-25,1.28
2013-02-01,1.39
2013-02-08,1.36
2013-02-15,1.38
2013-02-22,1.37
2013-03-01,1.25
2013-03-08,1.32
2013-03-15,1.40
2013-03-22,1.30
2013-03-29,1.25
2013-04-05,1.19
2013-04-12,1.17
2013-04-19,1.13
2013-04-26,1.13
2013-05-03,1.10
2013-05-10,1.22
2013-05-17,1.30
2013-05-24,1.37
2013-05-31,1.53
2013-06-07,1.54
2013-06-14,1.60
2013-06-21,1.74
2013-06-28,1.98
2013-07-05,2.00
2013-07-12,2.06
2013-07-19,1.94
2013-07-26,1.96
2013-08-02,2.04
2013-08-09,2.01
2013-08-16,2.14
2013-08-23,2.28
2013-08-30,2.21
2013-09-06,2.38
2013-09-13,2.35
2013-09-20,2.17
2013-09-27,2.05
2013-10-04,2.02
2013-10-11,2.06
2013-10-18,2.03
2013-10-25,1.93
2013-11-01,1.94
2013-11-08,2.04
2013-11-15,2.09
2013-11-22,2.09
2013-11-29,2.08
2013-12-06,2.19
2013-12-13,2.22
2013-12-20,2.28
2013-12-27,2.42
2014-01-03,2.42
2014-01-10,2.38
2014-01-17,2.29
2014-01-24,2.27
2014-01-31,2.19
2014-02-07,2.12
2014-02-14,2.18
2014-02-21,2.18
2014-02-28,2.14
2014-03-07,2.17
2014-03-14,2.20
2014-03-21,2.25
2014-03-28,2.29
2014-04-04,2.34
2014-04-11,2.22
2014-04-18,2.22
2014-04-25,2.30
2014-05-02,2.25
2014-05-09,2.19
2014-05-16,2.12
2014-05-23,2.08
2014-05-30,2.05
2014-06-06,2.17
2014-06-13,2.21
2014-06-20,2.23
2014-06-27,2.17
2014-07-04,2.19
2014-07-11,2.18
2014-07-18,2.16
2014-07-25,2.14
2014-08-01,2.19
2014-08-08,2.12
2014-08-15,2.06
2014-08-22,2.07
2014-08-29,2.06
2014-09-05,2.13
2014-09-12,2.22
2014-09-19,2.28
2014-09-26,2.24
2014-10-03,2.17
2014-10-10,2.04
2014-10-17,1.85
2014-10-24,1.91
2014-10-31,2.00
2014-11-07,2.05
2014-11-14,2.05
2014-11-21,2.04
2014-11-28,1.96
2014-12-05,2.00
2014-12-12,1.95
2014-12-19,1.93
2014-12-26,2.05
2015-01-02,1.98
2015-01-09,1.79
2015-01-16,1.62
2015-01-23,1.65
2015-01-30,1.57
2015-02-06,1.62
2015-02-13,1.82
2015-02-20,1.92
2015-02-27,1.83
2015-03-06,1.94
2015-03-13,1.94
2015-03-20,1.80
2015-03-27,1.73
2015-04-03,1.68
2015-04-10,1.69
2015-04-17,1.66
2015-04-24,1.69
2015-05-01,1.78
2015-05-08,1.92
2015-05-15,1.96
2015-05-22,1.96
2015-05-29,1.89
2015-06-05,2.05
2015-06-12,2.16
2015-06-19,2.06
2015-06-26,2.14
2015-07-03,2.09
2015-07-10,2.01
2015-07-17,2.09
2015-07-24,2.06
2015-07-31,1.98
2015-08-07,1.96
2015-08-14,1.93
2015-08-21,1.87
2015-08-28,1.87
2015-09-04,1.90
2015-09-11,1.91
2015-09-18,1.92
2015-09-25,1.86
2015-10-02,1.74
2015-10-09,1.76
2015-10-16,1.71
2015-10-23,1.76
2015-10-30,1.83
2015-11-06,1.99
2015-11-13,2.08
2015-11-20,2.03
2015-11-27,2.01
2015-12-04,2.01
2015-12-11,1.99
2015-12-18,2.05
2015-12-25,2.04
2016-01-01,2.10
2016-01-08,1.99
2016-01-15,1.87
2016-01-22,1.79
2016-01-29,1.75
2016-02-05,1.62
2016-02-12,1.46
2016-02-19,1.54
2016-02-26,1.52
2016-03-04,1.62
2016-03-11,1.72
2016-03-18,1.73
2016-03-25,1.70
2016-04-01,1.59
2016-04-08,1.49
2016-04-15,1.53
2016-04-22,1.61
2016-04-29,1.65
2016-05-06,1.57
2016-05-13,1.52
2016-05-20,1.63
2016-05-27,1.67
2016-06-03,1.62
2016-06-10,1.50
2016-06-17,1.40
2016-06-24,1.46
2016-07-01,1.28
2016-07-08,1.20
2016-07-15,1.34
2016-07-22,1.39
2016-07-29,1.36
2016-08-05,1.35
2016-08-12,1.38
2016-08-19,1.41
2016-08-26,1.42
2016-09-02,1.45
2016-09-09,1.44
2016-09-16,1.52
2016-09-23,1.48
2016-09-30,1.40
2016-10-07,1.53
2016-10-14,1.58
2016-10-21,1.54
2016-10-28,1.60
2016-11-04,1.59
2016-11-11,1.75
2016-11-18,2.06
2016-11-25,2.15
2016-12-02,2.18
2016-12-09,2.19
2016-12-16,2.34
2016-12-23,2.36
2016-12-30,2.31
2017-01-06,2.23
2017-01-13,2.18
2017-01-20,2.24
2017-01-27,2.27
2017-02-03,2.27
2017-02-10,2.18
2017-02-17,2.27
2017-02-24,2.20
2017-03-03,2.26
2017-03-10,2.37
2017-03-17,2.36
2017-03-24,2.24
2017-03-31,2.23
2017-04-07,2.16
2017-04-14,2.11
2017-04-21,2.04
2017-04-28,2.11
2017-05-05,2.14
2017-05-12,2.19
2017-05-19,2.08
2017-05-26,2.07
2017-06-02,2.01
2017-06-09,1.99
2017-06-16,1.99
2017-06-23,1.99
2017-06-30,2.06
2017-07-07,2.20
2017-07-14,2.16
2017-07-21,2.08
2017-07-28,2.11
2017-08-04,2.08
2017-08-11,2.05
2017-08-18,2.04
2017-08-25,2.01
