DATE,WGS1MO
2011-03-25,0.05
2011-04-01,0.04
2011-04-08,0.03
2011-04-15,0.03
2011-04-22,0.04
2011-04-29,0.02
2011-05-06,0.02
2011-05-13,0.01
2011-05-20,0.03
2011-05-27,0.04
2011-06-03,0.04
2011-06-10,0.02
2011-06-17,0.02
2011-06-24,0.01
2011-07-01,0.01
2011-07-08,0.02
2011-07-15,0.01
2011-07-22,0.03
2011-07-29,0.09
2011-08-05,0.04
2011-08-12,0.02
2011-08-19,0.01
2011-08-26,0.01
2011-09-02,0.01
2011-09-09,0.01
2011-09-16,0.00
2011-09-23,0.00
2011-09-30,0.00
2011-10-07,0.01
2011-10-14,0.02
2011-10-21,0.02
2011-10-28,0.01
2011-11-04,0.01
2011-11-11,0.01
2011-11-18,0.01
2011-11-25,0.02
2011-12-02,0.02
2011-12-09,0.00
2011-12-16,0.00
2011-12-23,0.00
2011-12-30,0.01
2012-01-06,0.01
2012-01-13,0.01
2012-01-20,0.03
2012-01-27,0.03
2012-02-03,0.05
2012-02-10,0.05
2012-02-17,0.06
2012-02-24,0.06
2012-03-02,0.08
2012-03-09,0.06
2012-03-16,0.07
2012-03-23,0.07
2012-03-30,0.05
2012-04-06,0.07
2012-04-13,0.08
2012-04-20,0.05
2012-04-27,0.07
2012-05-04,0.06
2012-05-11,0.07
2012-05-18,0.07
2012-05-25,0.07
2012-06-01,0.04
2012-06-08,0.04
2012-06-15,0.06
2012-06-22,0.06
2012-06-29,0.05
2012-07-06,0.07
2012-07-13,0.07
2012-07-20,0.06
2012-07-27,0.08
2012-08-03,0.05
2012-08-10,0.09
2012-08-17,0.10
2012-08-24,0.10
2012-08-31,0.11
2012-09-07,0.10
2012-09-14,0.09
2012-09-21,0.07
2012-09-28,0.05
2012-10-05,0.09
2012-10-12,0.12
2012-10-19,0.12
2012-10-26,0.12
2012-11-02,0.09
2012-11-09,0.12
2012-11-16,0.12
2012-11-23,0.14
2012-11-30,0.15
2012-12-07,0.08
2012-12-14,0.03
2012-12-21,0.02
2012-12-28,0.02
2013-01-04,0.05
2013-01-11,0.05
2013-01-18,0.06
2013-01-25,0.06
2013-02-01,0.03
2013-02-08,0.04
2013-02-15,0.08
2013-02-22,0.11
2013-03-01,0.09
2013-03-08,0.09
2013-03-15,0.09
2013-03-22,0.08
2013-03-29,0.06
2013-04-05,0.06
2013-04-12,0.06
2013-04-19,0.04
2013-04-26,0.04
2013-05-03,0.03
2013-05-10,0.01
2013-05-17,0.01
2013-05-24,0.03
2013-05-31,0.03
2013-06-07,0.04
2013-06-14,0.04
2013-06-21,0.04
2013-06-28,0.02
2013-07-05,0.02
2013-07-12,0.03
2013-07-19,0.02
2013-07-26,0.02
2013-08-02,0.02
2013-08-09,0.05
2013-08-16,0.05
2013-08-23,0.02
2013-08-30,0.03
2013-09-06,0.03
2013-09-13,0.01
2013-09-20,0.01
2013-09-27,0.02
2013-10-04,0.09
2013-10-11,0.23
2013-10-18,0.12
2013-10-25,0.02
2013-11-01,0.04
2013-11-08,0.04
2013-11-15,0.06
2013-11-22,0.04
2013-11-29,0.06
2013-12-06,0.03
2013-12-13,0.02
2013-12-20,0.02
2013-12-27,0.01
2014-01-03,0.01
2014-01-10,0.01
2014-01-17,0.01
