DATE,WGS5YR
2011-03-25,2.10
2011-04-01,2.23
2011-04-08,2.28
2011-04-15,2.22
2011-04-22,2.12
2011-04-29,2.04
2011-05-06,1.92
2011-05-13,1.87
2011-05-20,1.83
2011-05-27,1.77
2011-06-03,1.63
2011-06-10,1.58
2011-06-17,1.58
2011-06-24,1.52
2011-07-01,1.67
2011-07-08,1.67
2011-07-15,1.48
2011-07-22,1.50
2011-07-29,1.50
2011-08-05,1.23
2011-08-12,0.99
2011-08-19,0.93
2011-08-26,0.97
2011-09-02,0.93
2011-09-09,0.87
2011-09-16,0.91
2011-09-23,0.85
2011-09-30,0.96
2011-10-07,0.96
2011-10-14,1.14
2011-10-21,1.07
2011-10-28,1.11
2011-11-04,0.91
2011-11-11,0.90
2011-11-18,0.91
2011-11-25,0.91
2011-12-02,0.94
2011-12-09,0.90
2011-12-16,0.85
2011-12-23,0.90
2011-12-30,0.90
2012-01-06,0.88
2012-01-13,0.83
2012-01-20,0.85
2012-01-27,0.84
2012-02-03,0.73
2012-02-10,0.81
2012-02-17,0.84
2012-02-24,0.89
2012-03-02,0.86
2012-03-09,0.87
2012-03-16,1.06
2012-03-23,1.16
2012-03-30,1.05
2012-04-06,1.02
2012-04-13,0.88
2012-04-20,0.86
2012-04-27,0.84
2012-05-04,0.82
2012-05-11,0.77
2012-05-18,0.74
2012-05-25,0.76
2012-06-01,0.69
2012-06-08,0.70
2012-06-15,0.71
2012-06-22,0.73
2012-06-29,0.72
2012-07-06,0.67
2012-07-13,0.63
2012-07-20,0.61
2012-07-27,0.59
2012-08-03,0.62
2012-08-10,0.71
2012-08-17,0.78
2012-08-24,0.75
2012-08-31,0.67
2012-09-07,0.64
2012-09-14,0.68
2012-09-21,0.70
2012-09-28,0.65
2012-10-05,0.63
2012-10-12,0.67
2012-10-19,0.74
2012-10-26,0.78
2012-11-02,0.73
2012-11-09,0.68
2012-11-16,0.63
2012-11-23,0.68
2012-11-30,0.64
2012-12-07,0.62
2012-12-14,0.66
2012-12-21,0.76
2012-12-28,0.74
2013-01-04,0.78
2013-01-11,0.79
2013-01-18,0.77
2013-01-25,0.79
2013-02-01,0.89
2013-02-08,0.85
2013-02-15,0.88
2013-02-22,0.87
2013-03-01,0.77
2013-03-08,0.82
2013-03-15,0.88
2013-03-22,0.80
2013-03-29,0.78
2013-04-05,0.73
2013-04-12,0.72
2013-04-19,0.71
2013-04-26,0.70
2013-05-03,0.68
2013-05-10,0.76
2013-05-17,0.83
2013-05-24,0.88
2013-05-31,1.03
2013-06-07,1.04
2013-06-14,1.11
2013-06-21,1.22
2013-06-28,1.44
2013-07-05,1.45
2013-07-12,1.48
2013-07-19,1.35
2013-07-26,1.36
2013-08-02,1.40
2013-08-09,1.38
2013-08-16,1.50
2013-08-23,1.64
2013-08-30,1.60
2013-09-06,1.76
2013-09-13,1.73
2013-09-20,1.54
2013-09-27,1.43
2013-10-04,1.39
2013-10-11,1.43
2013-10-18,1.39
2013-10-25,1.32
2013-11-01,1.32
2013-11-08,1.36
2013-11-15,1.40
2013-11-22,1.37
2013-11-29,1.36
2013-12-06,1.46
2013-12-13,1.51
2013-12-20,1.58
2013-12-27,1.72
2014-01-03,1.73
2014-01-10,1.71
2014-01-17,1.65
2014-01-24,1.65
2014-01-31,1.55
2014-02-07,1.48
2014-02-14,1.53
2014-02-21,1.54
2014-02-28,1.52
2014-03-07,1.55
2014-03-14,1.59
2014-03-21,1.67
2014-03-28,1.73
2014-04-04,1.75
2014-04-11,1.63
2014-04-18,1.67
2014-04-25,1.74
2014-05-02,1.70
2014-05-09,1.65
2014-05-16,1.59
2014-05-23,1.55
2014-05-30,1.53
2014-06-06,1.64
2014-06-13,1.69
2014-06-20,1.72
2014-06-27,1.68
2014-07-04,1.68
2014-07-11,1.69
2014-07-18,1.69
2014-07-25,1.69
2014-08-01,1.73
2014-08-08,1.64
2014-08-15,1.59
2014-08-22,1.63
2014-08-29,1.66
2014-09-05,1.70
2014-09-12,1.78
2014-09-19,1.82
2014-09-26,1.79
2014-10-03,1.73
2014-10-10,1.61
2014-10-17,1.41
2014-10-24,1.47
2014-10-31,1.57
2014-11-07,1.63
2014-11-14,1.64
2014-11-21,1.64
2014-11-28,1.56
2014-12-05,1.60
2014-12-12,1.61
2014-12-19,1.61
2014-12-26,1.74
2015-01-02,1.67
2015-01-09,1.50
2015-01-16,1.32
2015-01-23,1.35
2015-01-30,1.28
2015-02-06,1.31
2015-02-13,1.51
2015-02-20,1.58
2015-02-27,1.51
2015-03-06,1.61
2015-03-13,1.61
2015-03-20,1.49
2015-03-27,1.42
2015-04-03,1.34
2015-04-10,1.36
2015-04-17,1.33
2015-04-24,1.36
2015-05-01,1.42
2015-05-08,1.54
2015-05-15,1.54
2015-05-22,1.56
2015-05-29,1.52
2015-06-05,1.65
2015-06-12,1.75
2015-06-19,1.65
2015-06-26,1.71
2015-07-03,1.65
2015-07-10,1.57
2015-07-17,1.67
2015-07-24,1.68
2015-07-31,1.59
2015-08-07,1.60
2015-08-14,1.57
2015-08-21,1.52
2015-08-28,1.47
2015-09-04,1.50
2015-09-11,1.53
2015-09-18,1.54
2015-09-25,1.47
2015-10-02,1.36
2015-10-09,1.37
2015-10-16,1.34
2015-10-23,1.38
2015-10-30,1.46
2015-11-06,1.64
2015-11-13,1.72
2015-11-20,1.68
2015-11-27,1.67
2015-12-04,1.66
2015-12-11,1.65
2015-12-18,1.70
2015-12-25,1.71
2016-01-01,1.78
2016-01-08,1.66
2016-01-15,1.52
2016-01-22,1.47
2016-01-29,1.42
2016-02-05,1.29
2016-02-12,1.15
2016-02-19,1.24
2016-02-26,1.22
2016-03-04,1.32
2016-03-11,1.42
2016-03-18,1.43
2016-03-25,1.39
2016-04-01,1.27
2016-04-08,1.18
2016-04-15,1.22
2016-04-22,1.31
2016-04-29,1.33
2016-05-06,1.25
2016-05-13,1.21
2016-05-20,1.34
2016-05-27,1.39
2016-06-03,1.34
2016-06-10,1.22
2016-06-17,1.12
2016-06-24,1.18
2016-07-01,1.01
2016-07-08,0.95
2016-07-15,1.09
2016-07-22,1.13
2016-07-29,1.10
2016-08-05,1.07
2016-08-12,1.12
2016-08-19,1.15
2016-08-26,1.16
2016-09-02,1.19
2016-09-09,1.17
2016-09-16,1.22
2016-09-23,1.19
2016-09-30,1.13
2016-10-07,1.24
2016-10-14,1.29
2016-10-21,1.25
2016-10-28,1.30
2016-11-04,1.27
2016-11-11,1.42
2016-11-18,1.71
2016-11-25,1.81
2016-12-02,1.83
2016-12-09,1.84
2016-12-16,2.00
2016-12-23,2.04
2016-12-30,2.00
2017-01-06,1.92
2017-01-13,1.89
2017-01-20,1.92
2017-01-27,1.94
2017-02-03,1.92
2017-02-10,1.86
2017-02-17,1.96
2017-02-24,1.88
2017-03-03,1.96
2017-03-10,2.08
2017-03-17,2.07
2017-03-24,1.96
2017-03-31,1.94
2017-04-07,1.88
2017-04-14,1.83
2017-04-21,1.76
2017-04-28,1.83
2017-05-05,1.86
2017-05-12,1.91
2017-05-19,1.81
2017-05-26,1.80
2017-06-02,1.75
2017-06-09,1.74
2017-06-16,1.76
2017-06-23,1.78
2017-06-30,1.83
2017-07-07,1.94
2017-07-14,1.90
2017-07-21,1.83
2017-07-28,1.85
2017-08-04,1.81
2017-08-11,1.80
2017-08-18,1.78
2017-08-25,1.77
2017-09-01,1.72
2017-09-08,1.65
2017-09-15,1.77
2017-09-22,1.87
2017-09-29,1.89
2017-10-06,1.94
2017-10-13,1.94
2017-10-20,1.98
2017-10-27,2.04
2017-11-03,2.00
2017-11-10,2.01
2017-11-17,2.06
2017-11-24,2.08
2017-12-01,2.10
2017-12-08,2.14
2017-12-15,2.15
2017-12-22,2.23
2017-12-29,2.23
2018-01-05,2.27
2018-01-12,2.32
